Object, Count, Frequency
grand, 58, 0.00010530
amid, 58, 0.00010530
shoulder, 58, 0.00010530
stay, 57, 0.00010348
we'll, 57, 0.00010348
rostov's, 57, 0.00010348
conscious, 57, 0.00010348
confused, 57, 0.00010348
handed, 57, 0.00010348
lit, 57, 0.00010348
forgive, 57, 0.00010348
spot, 57, 0.00010348
bilibin, 57, 0.00010348
ashamed, 57, 0.00010348
big, 57, 0.00010348
play, 57, 0.00010348
estate, 57, 0.00010348
girls, 57, 0.00010348
sovereign, 57, 0.00010348
gate, 56, 0.00010167
plans, 56, 0.00010167
church, 56, 0.00010167
noticing, 56, 0.00010167
lad, 56, 0.00010167
commanders, 56, 0.00010167
destroyed, 56, 0.00010167
allow, 56, 0.00010167
movements, 56, 0.00010167
sacrifice, 56, 0.00010167
hut, 56, 0.00010167
character, 56, 0.00010167
advanced, 56, 0.00010167
opposite, 55, 0.00009985
supper, 55, 0.00009985
ones, 55, 0.00009985
nearly, 55, 0.00009985
form, 55, 0.00009985
fallen, 55, 0.00009985
sorrow, 55, 0.00009985
quietly, 55, 0.00009985
